species_id,species,superclass,class,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
fis_4043,Crenicichla empheres,Osteichthyes,Teleostei,Cichliformes,Cichlidae,Cichlinae,Crenicichla,empheres,"Lucena, 2007",NA,0,native
fis_4044,Sternarchogiton labiatus,Osteichthyes,Teleostei,Gymnotiformes,Apteronotidae,Apteronotinae,Sternarchogiton,labiatus,"de Santana & Crampton, 2007",NA,0,native
fis_4045,Sternarchogiton preto,Osteichthyes,Teleostei,Gymnotiformes,Apteronotidae,Apteronotinae,Sternarchogiton,preto,"de Santana & Crampton, 2007",NA,0,native
fis_4046,Synaphobranchus calvus,Osteichthyes,Teleostei,Anguilliformes,Synaphobranchidae,Synaphobranchinae,Synaphobranchus,calvus,"Melo, 2007",NA,0,native
fis_4047,Rineloricaria anhaguapitan,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,anhaguapitan,"Ghazzi, 2008",NA,0,native
fis_4048,Rineloricaria zaina,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,zaina,"Ghazzi, 2008",NA,0,native
fis_4049,Rineloricaria capitonia,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,capitonia,"Ghazzi, 2008",NA,0,native
fis_4050,Rineloricaria stellata,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,stellata,"Ghazzi, 2008",NA,0,native
fis_4051,Rineloricaria reisi,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,reisi,"Ghazzi, 2008",NA,0,native
fis_4052,Rineloricaria setepovos,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,setepovos,"Ghazzi, 2008",NA,0,native
fis_4053,Rineloricaria sanga,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,sanga,"Ghazzi, 2008",NA,0,native
