species_id,species,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
mam_82,Bradypus variegatus,Pilosa,Bradypodidae,NA,Bradypus,variegatus,"Schinz, 1825","preguiça-comum, aí, ai-ai, preguiça-marmota, preguiça-de-bentinho, preguiça-de-óculos, preguiça-de-garganta-marrom",NA,NA
mam_83,Choloepus didactylus,Pilosa,Megalonychidae,NA,Choloepus,didactylus,"(Linnaeus, 1758)","preguiça-real, unau",NA,NA
mam_84,Choloepus hoffmanni,Pilosa,Megalonychidae,NA,Choloepus,hoffmanni,"Peters, 1858","preguiça-de-hoffmann, preguiça-real, unau",NA,NA
mam_85,Cyclopes didactylus,Pilosa,Cyclopedidae,NA,Cyclopes,didactylus,"(Linnaeus, 1758)","tamandua-í, tamanduá-cigarra, tamanduá-seda",NA,NA
mam_86,Cyclopes ida,Pilosa,Cyclopedidae,NA,Cyclopes,ida,"Thomas, 1900",tamandua-í,NA,NA
mam_87,Cyclopes rufus,Pilosa,Cyclopedidae,NA,Cyclopes,rufus,"Miranda et al., 2017",tamandua-í,NA,NA
mam_88,Cyclopes thomasi,Pilosa,Cyclopedidae,NA,Cyclopes,thomasi,"Miranda et al., 2017",tamandua-í,NA,NA
mam_89,Cyclopes xinguensis,Pilosa,Cyclopedidae,NA,Cyclopes,xinguensis,"Miranda et al., 2017",tamandua-í,NA,NA
mam_90,Myrmecophaga tridactyla,Pilosa,Myrmecophagidae,NA,Myrmecophaga,tridactyla,"Linnaeus, 1758","tamanduá-bandeira, papa-formigas, tamanduá-açú, tamanduá-cavalo, iurumi, jurumi, jurumim, bandeira, bandurra",NA,NA
mam_91,Tamandua tetradactyla,Pilosa,Myrmecophagidae,NA,Tamandua,tetradactyla,"(Linnaeus, 1758)","tamanduá-mirim, tamanduá-de-colete, tamanduá-colete, jaleco, mambira, meleta, melete, mixila, iapichau",NA,NA
mam_92,Trichechus inunguis,Sirenia,Trichechidae,NA,Trichechus,inunguis,"(Natterer, 1883)",peixe-boi-da-amazônia,NA,NA
mam_93,Trichechus manatus,Sirenia,Trichechidae,NA,Trichechus,manatus,"Linnaeus, 1758",peixe-boi-marinho,NA,NA
mam_94,Alouatta belzebul,Primates,Atelidae,Alouattinae,Alouatta,belzebul,"(Linnaeus, 1766)",guariba-de-mãos-ruivas,NA,NA
mam_95,Alouatta caraya,Primates,Atelidae,Alouattinae,Alouatta,caraya,"(Humboldt, 1812)",bugio-preto,NA,NA
mam_96,Alouatta discolor,Primates,Atelidae,Alouattinae,Alouatta,discolor,"(Spix, 1823)",guariba-de-mãos-ruivas,NA,NA
mam_97,Alouatta guariba,Primates,Atelidae,Alouattinae,Alouatta,guariba,"(Humboldt, 1812)","guariba, bugio-ruivo",NA,NA
mam_98,Alouatta juara,Primates,Atelidae,Alouattinae,Alouatta,juara,"(Elliot, 1910)",guariba-vermelha,NA,NA
mam_99,Alouatta macconnelli,Primates,Atelidae,Alouattinae,Alouatta,macconnelli,"Elliot, 1910",guariba,NA,NA
mam_100,Alouatta nigerrima,Primates,Atelidae,Alouattinae,Alouatta,nigerrima,"Lönnberg, 1941",guariba-preta,NA,NA
mam_101,Alouatta puruensis,Primates,Atelidae,Alouattinae,Alouatta,puruensis,"Lönnberg, 1941",guariba,NA,NA
mam_102,Alouatta seniculus,Primates,Atelidae,Alouattinae,Alouatta,seniculus,"(Linnaeus, 1766)",guariba,NA,NA
mam_103,Alouatta ululata,Primates,Atelidae,Alouattinae,Alouatta,ululata,"Elliot, 1912",guariba,NA,NA
mam_104,Ateles belzebuth,Primates,Atelidae,Atelinae,Ateles,belzebuth,"É. Geoffroy St.-Hilaire, 1806",macaco-aranha,NA,NA
mam_105,Ateles chamek,Primates,Atelidae,Atelinae,Ateles,chamek,"(Humboldt, 1812)",macaco-aranha-de-cara-preta,NA,NA
mam_106,Ateles marginatus,Primates,Atelidae,Atelinae,Ateles,marginatus,"É. Geoffroy St.-Hilaire, 1809",coatá-da-testa-branca,NA,NA
mam_107,Ateles paniscus,Primates,Atelidae,Atelinae,Ateles,paniscus,"(Linnaeus, 1758)",macaco-aranha,NA,NA
mam_108,Brachyteles arachnoides,Primates,Atelidae,Atelinae,Brachyteles,arachnoides,"(É. Geoffroy St.-Hilaire, 1806)","muriqui-do-sul, mono-carvoeiro",NA,NA
mam_109,Brachyteles hypoxanthus,Primates,Atelidae,Atelinae,Brachyteles,hypoxanthus,"(Wied-Neuwied, 1820)","muriqui-do-norte, mono-carvoeiro",NA,NA
mam_110,Lagothrix cana,Primates,Atelidae,Atelinae,Lagothrix,cana,"(É. Geoffroy St.-Hilaire, 1812)",macaco-barrigudo,NA,NA
mam_111,Lagothrix lagothrica,Primates,Atelidae,Atelinae,Lagothrix,lagothrica,"(Humboldt, 1811)",macaco-barrigudo,NA,NA
mam_112,Lagothrix poeppigii,Primates,Atelidae,Atelinae,Lagothrix,poeppigii,"Schinz, 1844",macaco-barrigudo,NA,NA
mam_113,Aotus azarae,Primates,Cebidae,Aotinae,Aotus,azarae,"(Humboldt, 1812)",macaco-da-noite,NA,NA
mam_114,Aotus infulatus,Primates,Cebidae,Aotinae,Aotus,infulatus,"(Kuhl, 1820)",macaco-da-noite,NA,NA
mam_115,Aotus nancymae,Primates,Cebidae,Aotinae,Aotus,nancymae,"Hershkovitz, 1983",macaco-da-noite,NA,NA
mam_116,Aotus nigriceps,Primates,Cebidae,Aotinae,Aotus,nigriceps,"Dollman, 1909",macaco-da-noite,NA,NA
mam_117,Aotus trivirgatus,Primates,Cebidae,Aotinae,Aotus,trivirgatus,"(Humboldt, 1812)",macaco-da-noite,NA,NA
mam_118,Aotus vociferans,Primates,Cebidae,Aotinae,Aotus,vociferans,"(Spix, 1823)",macaco-da-noite,NA,NA
mam_119,Callimico goeldii,Primates,Cebidae,Callitrichinae,Callimico,goeldii,"(Thomas, 1904)","mico-preto, soim-preto, taboqueiro, sagui-de-goeldi",NA,NA
mam_120,Callithrix aurita,Primates,Cebidae,Callitrichinae,Callithrix,aurita,"(É. Geoffroy St.-Hilaire, 1812)",sagui-da-serra-escuro,NA,NA
mam_121,Callithrix flaviceps,Primates,Cebidae,Callitrichinae,Callithrix,flaviceps,"(Thomas, 1903)",sagui-da-serra-claro,NA,NA
mam_122,Callithrix geoffroyi,Primates,Cebidae,Callitrichinae,Callithrix,geoffroyi,"(Humboldt, 1812)",sagui-da-cara-branca,NA,NA
mam_123,Callithrix jacchus,Primates,Cebidae,Callitrichinae,Callithrix,jacchus,"(Linnaeus, 1758)",sagui-de-tufo-branco,NA,NA
mam_124,Callithrix kuhlii,Primates,Cebidae,Callitrichinae,Callithrix,kuhlii,"Coimbra-Filho, 1985",sagui-de-wied,NA,NA
mam_125,Callithrix penicillata,Primates,Cebidae,Callitrichinae,Callithrix,penicillata,"(É. Geoffroy St.-Hilaire, 1812)","sagui-de-tufos-pretos, mico-estrela",NA,NA
mam_126,Cebuella niveiventris,Primates,Cebidae,Callitrichinae,Cebuella,niveiventris,"Lönnberg, 1940","mico-leãozinho, sagui-leãozinho, sagui-pigmeu",NA,NA
mam_127,Cebuella pygmaea,Primates,Cebidae,Callitrichinae,Cebuella,pygmaea,"(Spix, 1823)","mico-leãozinho, sagui-leãozinho, sagui-pigmeu",NA,NA
mam_128,Leontopithecus caissara,Primates,Cebidae,Callitrichinae,Leontopithecus,caissara,"Lorini & Persson, 1990",mico-leão-da-cara-preta,NA,NA
mam_129,Leontopithecus chrysomelas,Primates,Cebidae,Callitrichinae,Leontopithecus,chrysomelas,"(Kuhl, 1820)","mico-leão-da-cara-dourada, sauí-una",NA,NA
mam_130,Leontopithecus chrysopygus,Primates,Cebidae,Callitrichinae,Leontopithecus,chrysopygus,"(Mikan, 1823)","mico-leão-preto, sauí-preto",NA,NA
mam_131,Leontopithecus rosalia,Primates,Cebidae,Callitrichinae,Leontopithecus,rosalia,"(Linnaeus, 1766)","mico-leão-dourado, sauimpiranga",NA,NA
mam_132,Mico acariensis,Primates,Cebidae,Callitrichinae,Mico,acariensis,"(M. Roosmalen et al., 2000)",sagui-do-rio-acari,NA,NA
mam_133,Mico argentatus,Primates,Cebidae,Callitrichinae,Mico,argentatus,"(Linnaeus, 1771)","sagui-argênteo, sauim-branco",NA,NA
